PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
1,109.23511681087533ms,1,0,1
1,61.70198581069574ms,2,0,1
1,55.59071812818636ms,3,0,1
10,128.57072802435385ms,1,1,1
10,143.32858058652482ms,2,1,1
10,247.22454032947272ms,3,1,1
20,117.34746171962449ms,1,1,1
20,190.46961835994088ms,2,1,1
20,192.6055425829585ms,3,1,2
50,99.0479378197277ms,1,1,4
50,91.66782883139872ms,2,0,4
50,227.54521162009613ms,3,1,4
100,210.86768060158022ms,1,1,4
100,91.06768905491748ms,2,1,4
100,86.62195131509456ms,3,1,4
1000,2129.964179340206ms,1,1,12
1000,1521.514034701385ms,2,1,14
1000,1714.9435639832923ms,3,1,14
